rxn number,sensitivity,cantera equation,cantera products,cantera reactants
1847,-0.006277168610884852,CF3(45) + CH2CHF(56) <=> H(5) + S(141),"{'H(5)': 1.0, 'S(141)': 1.0}","{'CF3(45)': 1.0, 'CH2CHF(56)': 1.0}"
365,0.005958497375427653,CH2(T)(17) + O2(3) <=> CHO2(640) + H(5),"{'CHO2(640)': 1.0, 'H(5)': 1.0}","{'CH2(T)(17)': 1.0, 'O2(3)': 1.0}"
2299,0.005905679404513226,CH2CFO(79) + CHF2(82) <=> CH2CO(27) + CHF3(42),"{'CH2CO(27)': 1.0, 'CHF3(42)': 1.0}","{'CH2CFO(79)': 1.0, 'CHF2(82)': 1.0}"
973,-0.005419608820582475,C3HF4(84) + CF3(45) <=> CF3CCH(83) + CF4(44),"{'CF3CCH(83)': 1.0, 'CF4(44)': 1.0}","{'C3HF4(84)': 1.0, 'CF3(45)': 1.0}"
2099,0.0054193012340198595,C3HF2(210) + CH2CFO(79) <=> CF3CCH(83) + CH2CO(27),"{'CF3CCH(83)': 1.0, 'CH2CO(27)': 1.0}","{'C3HF2(210)': 1.0, 'CH2CFO(79)': 1.0}"
560,0.005351256036972813,C3HF4(84) + O2(3) <=> C3HF4O(85) + O(6),"{'C3HF4O(85)': 1.0, 'O(6)': 1.0}","{'C3HF4(84)': 1.0, 'O2(3)': 1.0}"
90,-0.005338763736524312,CH3(18) + O(6) <=> CH2O(19) + H(5),"{'CH2O(19)': 1.0, 'H(5)': 1.0}","{'CH3(18)': 1.0, 'O(6)': 1.0}"
33,-0.005130236303947234,H(5) + HCO(14) <=> CO(12) + H2(7),"{'CO(12)': 1.0, 'H2(7)': 1.0}","{'H(5)': 1.0, 'HCO(14)': 1.0}"
896,0.004869049514913353,C3HF4(84) + CHF3(42) <=> C3H2F4(1) + CF3(45),"{'C3H2F4(1)': 1.0, 'CF3(45)': 1.0}","{'C3HF4(84)': 1.0, 'CHF3(42)': 1.0}"
3710,-0.004761578885850412,CH2CHF(56) + O(6) <=> CH2CO(27) + HF(38),"{'CH2CO(27)': 1.0, 'HF(38)': 1.0}","{'CH2CHF(56)': 1.0, 'O(6)': 1.0}"
1837,0.004753187604691963,CF3(45) + CH2CO(27) <=> CO(12) + S(153),"{'CO(12)': 1.0, 'S(153)': 1.0}","{'CF3(45)': 1.0, 'CH2CO(27)': 1.0}"
2399,0.004691376411879504,CH2CF2(57) + OH(2) <=> CF2CH(73) + H2O(4),"{'CF2CH(73)': 1.0, 'H2O(4)': 1.0}","{'CH2CF2(57)': 1.0, 'OH(2)': 1.0}"
2194,-0.004671453981189844,CFO(51) + H(5) <=> CO(12) + HF(38),"{'CO(12)': 1.0, 'HF(38)': 1.0}","{'CFO(51)': 1.0, 'H(5)': 1.0}"
1248,0.004663767027733839,CF2(43) + HO2(10) <=> CF2O(49) + OH(2),"{'CF2O(49)': 1.0, 'OH(2)': 1.0}","{'CF2(43)': 1.0, 'HO2(10)': 1.0}"
34,-0.004514782037765715,HCO(14) + O(6) <=> CO(12) + OH(2),"{'CO(12)': 1.0, 'OH(2)': 1.0}","{'HCO(14)': 1.0, 'O(6)': 1.0}"
583,0.0042574618825833984,CF3(45) + S(1481) <=> S(287),{'S(287)': 1.0},"{'CF3(45)': 1.0, 'S(1481)': 1.0}"
2735,0.004140515424268413,OH(2) + S(141) <=> C3HF4(148) + H2O(4),"{'C3HF4(148)': 1.0, 'H2O(4)': 1.0}","{'OH(2)': 1.0, 'S(141)': 1.0}"
246,0.0040946809054486985,C3H2F4(1) <=> S(141),{'S(141)': 1.0},{'C3H2F4(1)': 1.0}
170,0.0040856156053937,CH2(T)(17) + CO(12) (+M) <=> CH2CO(27) (+M),{'CH2CO(27)': 1.0},"{'CH2(T)(17)': 1.0, 'CO(12)': 1.0}"
970,-0.0040733288225890145,CF4(44) + H(5) <=> CF3(45) + HF(38),"{'CF3(45)': 1.0, 'HF(38)': 1.0}","{'CF4(44)': 1.0, 'H(5)': 1.0}"
2179,0.004010973340553792,C2FO(1963) + O2(3) <=> O(6) + S(11019),"{'O(6)': 1.0, 'S(11019)': 1.0}","{'C2FO(1963)': 1.0, 'O2(3)': 1.0}"
3299,0.004007332293771395,CF2(43) + O2(3) <=> CFO2(1113) + F(37),"{'CFO2(1113)': 1.0, 'F(37)': 1.0}","{'CF2(43)': 1.0, 'O2(3)': 1.0}"
15,0.003980580653761564,H(5) + HO2(10) <=> 2 OH(2),{'OH(2)': 2.0},"{'H(5)': 1.0, 'HO2(10)': 1.0}"
