,0,1
112,8.624310318113551e-11,2.8901146785358053e-06
113,9.926255001037332e-11,3.035441459156408e-06
114,1.1346829504273942e-10,3.1807682397770106e-06
115,1.289015218084488e-10,3.3260950203976133e-06
116,1.4560227843715002e-10,3.471421801018216e-06
117,1.6360950891914843e-10,3.6167485816388187e-06
118,1.8296108353599483e-10,3.7620753622594213e-06
119,2.1524145795462392e-10,3.984340167516215e-06
120,2.5087945536278014e-10,4.2066049727730085e-06
121,2.8999693663164703e-10,4.428869778029802e-06
122,3.327106619075104e-10,4.651134583286596e-06
123,3.7913250285091534e-10,4.87339938854339e-06
124,4.293696473241582e-10,5.095664193800184e-06
125,4.835247961418014e-10,5.3179289990569776e-06
126,5.416963510841415e-10,5.540193804313771e-06
127,6.039785944884655e-10,5.762458609570565e-06
128,6.704618613471915e-10,5.984723414827359e-06
129,7.808207891282077e-10,6.325711666765777e-06
130,9.015662285300759e-10,6.666699918704195e-06
131,1.0329755106423226e-09,7.007688170642613e-06
132,1.1753083553307235e-09,7.348676422581031e-06
133,1.328807978760665e-09,7.68966467451945e-06
134,1.4937021420963422e-09,8.030652926457868e-06
135,1.670204139204387e-09,8.371641178396286e-06
136,1.957172956283383e-09,8.8831537206027e-06
137,2.2713304861852636e-09,9.394666262809114e-06
138,2.6132400586469242e-09,9.906178805015529e-06
139,2.98341218264567e-09,1.0417691347221943e-05
140,3.382309422695499e-09,1.0929203889428358e-05
141,3.810350908211314e-09,1.1440716431634772e-05
142,4.2679164549355026e-09,1.1952228973841186e-05
143,4.755350262235011e-09,1.24637415160476e-05
144,5.2729642287676944e-09,1.2975254058254015e-05
145,5.8210409623006475e-09,1.348676660046043e-05
146,6.399836527817291e-09,1.3998279142666844e-05
147,7.009582944188106e-09,1.4509791684873258e-05
148,7.650490439036218e-09,1.5021304227079673e-05
149,8.679959668534327e-09,1.579530813437172e-05
150,9.781792952464542e-09,1.656931204166377e-05
151,1.0956493279663004e-08,1.7343315948955817e-05
152,1.2204493837054705e-08,1.8117319856247865e-05
153,1.3526167404940528e-08,1.8891323763539913e-05
154,1.4921834763120778e-08,1.966532767083196e-05
155,1.6391772065674252e-08,2.043933157812401e-05
156,1.7936217066802443e-08,2.1213335485416057e-05
157,1.9555374357831172e-08,2.1987339392708105e-05
158,2.1249419893881428e-08,2.2761343300000153e-05
159,2.3018504967181335e-08,2.35353472072922e-05
160,2.4862759653535604e-08,2.430935111458425e-05
161,2.6782295753522925e-08,2.5083355021876298e-05
162,2.877720930340994e-08,2.5857358929168346e-05
163,3.084758274416668e-08,2.6631362836460394e-05
164,3.423480786957198e-08,2.7841103758523603e-05
165,3.7806762961325914e-08,2.905084468058681e-05
166,4.1563623011508574e-08,3.0260585602650015e-05
167,4.550552503632933e-08,3.147032652471322e-05
168,4.96325754911625e-08,3.268006744677643e-05
169,5.394485668870818e-08,3.3889808368839633e-05
170,5.8442432127671907e-08,3.509954929090284e-05
171,6.3125350486432e-08,3.6309290212966046e-05
172,6.799364855415111e-08,3.751903113502925e-05
173,7.304735357959118e-08,3.872877205709246e-05
174,7.828648526768675e-08,3.9938512979155664e-05
175,8.683844772645191e-08,4.18275652466251e-05
176,9.584261542436108e-08,4.371661751409453e-05
177,1.0529899982371357e-07,4.5605669781563966e-05
178,1.1520759834935037e-07,4.74947220490334e-05
179,1.2556839800045845e-07,4.9383774316502834e-05
180,1.3638137862656285e-07,5.127282658397227e-05
181,1.476465154582756e-07,5.31618788514417e-05
182,1.5936378049441545e-07,5.505093111891114e-05
183,1.7153314316773637e-07,5.693998338638057e-05
184,1.841545708951184e-07,5.8829035653850005e-05
185,2.050295956777034e-07,6.181538927831616e-05
186,2.2703417986079668e-07,6.48017429027823e-05
187,2.501681796431558e-07,6.778809652724846e-05
188,2.7443144763078476e-07,7.077445015171461e-05
189,2.9982383326367646e-07,7.376080377618076e-05
190,3.263451833393847e-07,7.674715740064691e-05
191,3.717764340911339e-07,8.159240101565959e-05
192,4.201784638620406e-07,8.643764463067227e-05
193,4.7155058250339523e-07,9.128288824568496e-05
194,5.258920850882932e-07,9.612813186069764e-05
195,5.832022520432946e-07,0.00010097337547571032
196,6.434803496892352e-07,0.000105818619090723
197,7.067256304177469e-07,0.00011066386270573569
198,7.729373324401489e-07,0.00011550910632074837
199,8.421146796213241e-07,0.00012035434993576105
200,9.142568815968968e-07,0.00012519959355077374
201,9.893631339220079e-07,0.0001300448371657864
202,1.0674326180601894e-06,0.00013489008078079907
203,1.148464501308886e-06,0.00013973532439581174
204,1.2324579368034736e-06,0.0001445805680108244
205,1.3194120635813715e-06,0.00014942581162583708
206,1.46757678725993e-06,0.00015732801012583288
207,1.623610432528774e-06,0.00016523020862582868
208,1.7875090236668534e-06,0.00017313240712582448
209,1.959268485658168e-06,0.00018103460562582027
210,2.1388846444113647e-06,0.00018893680412581607
211,2.3263532269471576e-06,0.00019683900262581187
212,2.5216698615669045e-06,0.00020474120112580767
213,2.861182123293399e-06,0.00021778332744233912
214,3.222039277659215e-06,0.00023082545375887058
215,3.6042199148058563e-06,0.00024386758007540203
216,4.007701900322937e-06,0.0002569097063919335
217,4.432462378100641e-06,0.00026995183270846494
218,4.878477772986932e-06,0.0002829939590249964
219,5.345723793501679e-06,0.00029603608534152785
220,6.108211588228766e-06,0.0003161583609150639
221,6.921082765182762e-06,0.0003362806364886
222,7.78423817983467e-06,0.00035640291206213607
223,8.697574720261807e-06,0.00037652518763567214
224,9.660985337648492e-06,0.0003966474632092082
225,1.0674359077723959e-05,0.0004167697387827443
226,1.1737581113361468e-05,0.00043689201435628036
227,1.2850532778504901e-05,0.00045701428992981643
228,1.4013091603341843e-05,0.0004771365655033525
229,1.5225131350576668e-05,0.0004972588410768886
230,1.6486522052756918e-05,0.0005173811166504246
231,1.7797130050681215e-05,0.0005375033922239606
232,1.9156818032898324e-05,0.0005576256677974966
233,2.0565445076260807e-05,0.0005777479433710326
234,2.2022866687486112e-05,0.0005978702189445687
235,2.352893484569524e-05,0.0006179924945181047
236,2.5083498045911194e-05,0.0006381147700916407
237,2.6686401343495637e-05,0.0006582370456651767
238,2.833748639949395e-05,0.0006783593212387127
239,3.003659152685643e-05,0.0006984815968122487
240,3.1783551737506564e-05,0.0007186038723857848
241,3.3578198790228686e-05,0.0007387261479593208
242,3.542036123934666e-05,0.0007588484235328568
243,3.832707681255129e-05,0.0007896006390121256
244,4.1343723611768447e-05,0.0008203528544913943
245,4.446964795284164e-05,0.0008511050699706631
246,4.770418007445747e-05,0.0008818572854499318
247,5.104663458076738e-05,0.0009126095009292006
248,5.44963108898655e-05,0.0009433617164084693
249,5.805249368821447e-05,0.0009741139318877381
250,6.171445339146013e-05,0.001004866147367007
251,6.548144661104322e-05,0.0010356183628462757
252,6.935271662544518e-05,0.0010663705783255444
253,7.332749385521692e-05,0.0010971227938048132
254,7.740499634136501e-05,0.001127875009284082
255,8.158443022669678e-05,0.0011586272247633507
256,8.586499023952603e-05,0.0011893794402426194
257,9.024586017904774e-05,0.0012201316557218882
258,9.703818221799742e-05,0.001266493316602154
259,0.00010405373479603173,0.00131285497748242
260,0.00011128959555859057,0.0013592166383626857
261,0.00011874279829453579,0.0014055782992429516
262,0.00012641033669911675,0.0014519399601232174
263,0.00013428916810637984,0.0014983016210034833
264,0.0001423762171848633,0.0015446632818837491
265,0.00015066837959034748,0.001591024942764015
266,0.00015916252556740263,0.0016373866036442808
267,0.00016785550349117539,0.0016837482645245467
268,0.00017674414334244837,0.0017301099254048125
269,0.00018582526011042612,0.0017764715862850784
270,0.00019509565711797497,0.0018228332471653442
271,0.00020455212926391824,0.00186919490804561
272,0.0002141914661773349,0.001915556568925876
273,0.00022401045527957177,0.001961918229806142
274,0.00023400588475037886,0.002008279890686408
275,0.0002495603536286553,0.0020788872558528218
276,0.00026550532346544174,0.0021494946210192357
277,0.0002818295490198719,0.0022201019861856496
278,0.00029852186116995804,0.0022907093513520635
279,0.0003155711856576809,0.0023613167165184774
280,0.00033296656061452325,0.0024319240816848913
281,0.000350697152798543,0.002502531446851305
